,Normal,,,,,Noisy,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,no,yes,yes,yes,no,no,yes,yes,no,no,Existential,Existential,90,1,1,Persons,OLD DATA,81,yes,yes,yes,yes,yes,no,yes,yes,no,no,Persons,Existential,60,1,1
141,no,yes,no,yes,no,no,yes,no,yes,no,Existential,Existential,100,1,1,Existential,OLD DATA,82,no,no,no,no,no,yes,no,yes,yes,no,Animals,Persons,75,1,2
142,no,yes,yes,yes,no,no,yes,yes,yes,no,Existential,Existential,100,1,1,Persons,OLD DATA,83,no,no,yes,yes,no,yes,no,yes,yes,no,Animals,Persons,75,3,2
143,yes,yes,no,yes,no,yes,yes,no,yes,no,Persons,Persons,100,2,1,Existential,OLD DATA,84,yes,no,yes,no,no,no,no,yes,no,yes,Animals,Objects,75,1,2
144,no,yes,no,no,no,no,yes,no,no,yes,Existential,Existential,100,1,1,Existential,OLD DATA,85,yes,yes,no,yes,no,yes,yes,yes,no,no,Persons,Animals,75,1,1
145,no,no,no,no,no,no,no,no,no,no,Animals,Animals,100,3,3,Existential,OLD DATA,86,no,yes,no,yes,no,yes,no,no,yes,yes,Existential,Persons,75,3,3
146,no,yes,yes,yes,no,no,yes,yes,yes,no,Existential,Existential,100,2,2,Existential,OLD DATA,87,no,no,yes,yes,yes,no,yes,yes,yes,yes,Objects,Existential,75,1,2
,,,,,,,,,,,,,,,,,OLD DATA,88,yes,no,yes,yes,no,yes,no,yes,yes,no,Persons,Persons,90,3,3
,,,,,,,,,,,,,,,,,OLD DATA,89,no,yes,no,yes,no,no,yes,no,yes,no,Existential,Existential,90,3,1
,,,,,,,,,,,,,,,,,OLD DATA,90,no,yes,no,yes,no,no,yes,no,yes,no,Existential,Existential,90,1,3
,,,,,,,,,,,,,,,,,OLD DATA,91,no,no,yes,no,no,no,no,no,no,no,Animals,Animals,90,1,3
,,,,,,,,,,,,,,,,,OLD DATA,92,no,yes,no,yes,no,no,yes,yes,yes,no,Existential,Existential,90,2,1
,,,,,,,,,,,,,,,,,OLD DATA,93,no,no,no,yes,no,no,no,no,yes,yes,Animals,Objects,90,3,3
,,,,,,,,,,,,,,,,,OLD DATA,94,no,no,no,no,no,no,no,no,no,no,Animals,Animals,100,3,1
,,,,,,,,,,,,,,,,,OLD DATA,95,yes,no,no,no,no,yes,no,no,no,no,Animals,Animals,100,1,2
,,,,,,,,,,,,,,,,,OLD DATA,96,no,yes,no,yes,no,no,yes,no,yes,no,Existential,Existential,100,2,1
,,,,,,,,,,,,,,,,,OLD DATA,97,no,yes,no,no,no,no,yes,no,no,no,Existential,Existential,100,3,3
,,,,,,,,,,,,,,,,,OLD DATA,98,no,yes,no,no,no,no,yes,no,no,no,Existential,Existential,100,3,2
,,,,,,,,,,,,,,,,,OLD DATA,,no,yes,no,yes,yes,no,yes,no,yes,yes,Existential,Existential,100,3,1
